,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
247,2040,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,"GSK1363089, XL-880, EXEL-2880, GSK089",COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,"MET,KDR,TEK,FLT4,MST1R,PDGFRA,FGFR1,EGFR"
248,2043,BIBR-1532,TERT,Genome integrity,-,C/C(=C\C(=O)NC1=CC=CC=C1C(=O)O)/C2=CC3=CC=CC=C3C=C2,TERT
249,2044,Pyridostatin,G-quadruplex stabiliser,DNA replication,-,C1=CC=C2C(=C1)C(=CC(=N2)NC(=O)C3=CC(=CC(=N3)C(=O)NC4=NC5=CC=CC=C5C(=C4)OCCN)OCCN)OCCN,DHX36
250,2045,AMG-319,PI3K (beta sparing),PI3K/MTOR signaling,AMG319,C[C@@H](C1=C(N=C2C=C(C=CC2=C1)F)C3=CC=CC=N3)NC4=NC=NC5=C4NC=N5,"PIK3CA,PIK3CB,PIK3CD,PIK3CG,MTOR"
251,2046,MK-8776,"CHEK1, CHEK2, CDK2",Cell cycle,SCH900776,CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4,"CHEK1,CHEK2,CDK2"
252,2048,Vinorelbine,Microtubule destabiliser,Mitosis,"vinorelbine tartrate, Navelbine, Exelbine",CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,TUBB
253,2055,Mycophenolic acid,,Unclassified,-,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,
254,2057,Remodelin,,Unclassified,-,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,
255,2096,VX-11e,ERK2,ERK MAPK signaling,"VX11e, VX11e",CC1=CN=C(N=C1C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl,GPSM2
256,2107,LJI308,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,-,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,"RPS6KA2,RPS6KA1,RPS6KA3"
257,2109,AZ6102,"TNKS1, TNKS2",WNT signaling,-,C[C@@H]1CN(C[C@@H](N1)C)C2=NC=C(C(=C2)C)C3=CC=C(C=C3)C4=NC5=C(C=CN5C)C(=O)N4,"TNKS,TNKS2"
258,2110,GSK591,PMRT5,Chromatin histone methylation,"EPZ015866, GSK3203591",C1CC(C1)NC2=NC=CC(=C2)C(=O)NC[C@@H](CN3CCC4=CC=CC=C4C3)O,PRMT5
259,2111,VE821,ATR,Genome integrity,"VE 821, VE-821",CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N,ATR
260,2112,VTP-A,,Unclassified,-,,
261,2113,VTP-B,,Unclassified,-,,
262,2145,PBD-288,,Unclassified,-,,
263,2148,POMHEX,,Unclassified,-,CC(C)(C)C(=O)OCOP(=O)(C1CCCN(C1=O)O)OCOC(=O)C(C)(C)C,
264,2149,CT7033-2,"KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",Chromatin histone methylation,-,,"KDM4A,KDM4C,KDM4E,KDM3A,KDM6B"
265,2154,GSK-LSD1-2HCl ,LSD1,Chromatin histone methylation,-,,KDM1A
266,2156,5-azacytidine,DNA methyltransferases,Other,-,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,"DNMT1,DNMT3A,DNMT3B"
267,2157,A-366,"EHMT1, EHMT2",Chromatin histone methylation,-,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,"EHMT1,EHMT2"
268,2158,CPI-637,EP300,Chromatin histone methylation,-,C[C@@H]1CC(=O)NC2=CC=CC(=C2N1)C3=CC4=C(C=C3)N(N=C4C5=CN(N=C5)C)C,EP300
269,2159,UNC0379,SETD8,Chromatin histone methylation,-,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCC3)NCCCCCN4CCCC4)OC,KMT5A
